neighborhood,occur_year,occur_count
Adair Park,2009,162
Adair Park,2010,239
Adair Park,2011,211
Adair Park,2012,172
Adair Park,2013,158
Adair Park,2014,166
Adair Park,2015,194
Adair Park,2016,170
Adair Park,2017,169
Adair Park,2018,197
Adair Park,2019,166
Adair Park,2020,110
Adair Park,2021,123
Adair Park,2022,25
Adams Park,2009,182
Adams Park,2010,195
Adams Park,2011,157
Adams Park,2012,129
Adams Park,2013,124
Adams Park,2014,138
Adams Park,2015,138
Adams Park,2016,164
Adams Park,2017,93
Adams Park,2018,97
Adams Park,2019,84
Adams Park,2020,55
Adams Park,2021,53
Adams Park,2022,21
Adamsville,2009,266
Adamsville,2010,269
Adamsville,2011,289
Adamsville,2012,239
Adamsville,2013,234
Adamsville,2014,234
Adamsville,2015,295
Adamsville,2016,270
Adamsville,2017,208
Adamsville,2018,216
Adamsville,2019,266
Adamsville,2020,225
Adamsville,2021,161
Adamsville,2022,33
Almond Park,2009,124
Almond Park,2010,127
Almond Park,2011,87
Almond Park,2012,103
Almond Park,2013,73
Almond Park,2014,72
Almond Park,2015,64
Almond Park,2016,61
Almond Park,2017,48
Almond Park,2018,46
Almond Park,2019,42
Almond Park,2020,36
Almond Park,2021,42
Almond Park,2022,5
Amal Heights,2009,68
Amal Heights,2010,53
Amal Heights,2011,33
Amal Heights,2012,35
Amal Heights,2013,40
Amal Heights,2014,35
Amal Heights,2015,36
Amal Heights,2016,17
Amal Heights,2017,23
Amal Heights,2018,18
Amal Heights,2019,12
Amal Heights,2020,13
Amal Heights,2021,7
Amal Heights,2022,4
Ansley Park,2009,99
Ansley Park,2010,78
Ansley Park,2011,58
Ansley Park,2012,54
Ansley Park,2013,58
Ansley Park,2014,85
Ansley Park,2015,72
Ansley Park,2016,86
Ansley Park,2017,63
Ansley Park,2018,54
Ansley Park,2019,40
Ansley Park,2020,32
Ansley Park,2021,30
Ansley Park,2022,4
Arden/Habersham,2009,5
Arden/Habersham,2010,5
Arden/Habersham,2011,6
Arden/Habersham,2012,12
Arden/Habersham,2013,2
Arden/Habersham,2014,6
Arden/Habersham,2015,4
Arden/Habersham,2016,6
Arden/Habersham,2017,7
Arden/Habersham,2018,3
Arden/Habersham,2019,1
Arden/Habersham,2020,2
Arden/Habersham,2021,1
Ardmore,2009,57
Ardmore,2010,63
Ardmore,2011,41
Ardmore,2012,49
Ardmore,2013,58
Ardmore,2014,56
Ardmore,2015,63
Ardmore,2016,63
Ardmore,2017,36
Ardmore,2018,72
Ardmore,2019,58
Ardmore,2020,58
Ardmore,2021,48
Ardmore,2022,10
Argonne Forest,2009,7
Argonne Forest,2010,7
Argonne Forest,2011,6
Argonne Forest,2012,7
Argonne Forest,2013,1
Argonne Forest,2014,8
Argonne Forest,2015,7
Argonne Forest,2016,6
Argonne Forest,2017,9
Argonne Forest,2018,7
Argonne Forest,2019,5
Argonne Forest,2020,1
Argonne Forest,2021,3
Argonne Forest,2022,1
Arlington Estates,2009,22
Arlington Estates,2010,53
Arlington Estates,2011,54
Arlington Estates,2012,16
Arlington Estates,2013,25
Arlington Estates,2014,32
Arlington Estates,2015,32
Arlington Estates,2016,28
Arlington Estates,2017,22
Arlington Estates,2018,27
Arlington Estates,2019,19
Arlington Estates,2020,14
Arlington Estates,2021,19
Arlington Estates,2022,3
Ashley Courts,2009,50
Ashley Courts,2010,57
Ashley Courts,2011,59
Ashley Courts,2012,51
Ashley Courts,2013,86
Ashley Courts,2014,38
Ashley Courts,2015,48
Ashley Courts,2016,42
Ashley Courts,2017,49
Ashley Courts,2018,39
Ashley Courts,2019,19
Ashley Courts,2020,45
Ashley Courts,2021,31
Ashley Courts,2022,2
Ashview Heights,2009,238
Ashview Heights,2010,253
Ashview Heights,2011,180
Ashview Heights,2012,222
Ashview Heights,2013,174
Ashview Heights,2014,176
Ashview Heights,2015,199
Ashview Heights,2016,170
Ashview Heights,2017,136
Ashview Heights,2018,115
Ashview Heights,2019,122
Ashview Heights,2020,87
Ashview Heights,2021,80
Ashview Heights,2022,15
Atkins Park,2009,23
Atkins Park,2010,17
Atkins Park,2011,13
Atkins Park,2012,11
Atkins Park,2013,12
Atkins Park,2014,12
Atkins Park,2015,9
Atkins Park,2016,12
Atkins Park,2017,5
Atkins Park,2018,6
Atkins Park,2019,8
Atkins Park,2020,8
Atkins Park,2021,10
Atkins Park,2022,2
Atlanta Industrial Park,2009,19
Atlanta Industrial Park,2010,9
Atlanta Industrial Park,2011,17
Atlanta Industrial Park,2012,19
Atlanta Industrial Park,2013,22
Atlanta Industrial Park,2014,23
Atlanta Industrial Park,2015,19
Atlanta Industrial Park,2016,24
Atlanta Industrial Park,2017,28
Atlanta Industrial Park,2018,9
Atlanta Industrial Park,2019,8
Atlanta Industrial Park,2020,7
Atlanta Industrial Park,2021,5
Atlanta Industrial Park,2022,3
Atlanta University Center,2009,225
Atlanta University Center,2010,180
Atlanta University Center,2011,210
Atlanta University Center,2012,195
Atlanta University Center,2013,153
Atlanta University Center,2014,231
Atlanta University Center,2015,171
Atlanta University Center,2016,176
Atlanta University Center,2017,116
Atlanta University Center,2018,83
Atlanta University Center,2019,92
Atlanta University Center,2020,54
Atlanta University Center,2021,83
Atlanta University Center,2022,29
Atlantic Station,2009,282
Atlantic Station,2010,357
Atlantic Station,2011,273
Atlantic Station,2012,329
Atlantic Station,2013,227
Atlantic Station,2014,251
Atlantic Station,2015,258
Atlantic Station,2016,282
Atlantic Station,2017,210
Atlantic Station,2018,279
Atlantic Station,2019,211
Atlantic Station,2020,176
Atlantic Station,2021,187
Atlantic Station,2022,45
Audobon Forest,2009,22
Audobon Forest,2010,29
Audobon Forest,2011,20
Audobon Forest,2012,15
Audobon Forest,2013,18
Audobon Forest,2014,12
Audobon Forest,2015,17
Audobon Forest,2016,17
Audobon Forest,2017,18
Audobon Forest,2018,12
Audobon Forest,2019,10
Audobon Forest,2020,4
Audobon Forest,2021,4
Audobon Forest,2022,2
Audobon Forest West,2009,13
Audobon Forest West,2010,12
Audobon Forest West,2011,7
Audobon Forest West,2012,2
Audobon Forest West,2013,8
Audobon Forest West,2014,13
Audobon Forest West,2015,6
Audobon Forest West,2016,8
Audobon Forest West,2017,7
Audobon Forest West,2018,9
Audobon Forest West,2019,4
Audobon Forest West,2020,1
Audobon Forest West,2021,2
Baker Hills,2009,50
Baker Hills,2010,36
Baker Hills,2011,41
Baker Hills,2012,29
Baker Hills,2013,23
Baker Hills,2014,22
Baker Hills,2015,22
Baker Hills,2016,28
Baker Hills,2017,30
Baker Hills,2018,27
Baker Hills,2019,16
Baker Hills,2020,20
Baker Hills,2021,7
Baker Hills,2022,1
Bakers Ferry,2009,8
Bakers Ferry,2010,9
Bakers Ferry,2011,7
Bakers Ferry,2012,14
Bakers Ferry,2013,8
Bakers Ferry,2014,10
Bakers Ferry,2015,9
Bakers Ferry,2016,5
Bakers Ferry,2017,5
Bakers Ferry,2018,8
Bakers Ferry,2019,5
Bakers Ferry,2020,5
Bakers Ferry,2021,2
Bankhead,2009,340
Bankhead,2010,309
Bankhead,2011,266
Bankhead,2012,269
Bankhead,2013,167
Bankhead,2014,170
Bankhead,2015,166
Bankhead,2016,177
Bankhead,2017,150
Bankhead,2018,117
Bankhead,2019,105
Bankhead,2020,114
Bankhead,2021,101
Bankhead,2022,28
Bankhead Courts,2009,12
