npu,crime_type,occur_year,occur_month,occur_count
A,AGG ASSAULT,2009,April,1
A,AGG ASSAULT,2009,August,2
A,AGG ASSAULT,2009,July,1
A,AGG ASSAULT,2010,August,2
A,AGG ASSAULT,2010,July,1
A,AGG ASSAULT,2010,September,1
A,AGG ASSAULT,2011,December,1
A,AGG ASSAULT,2011,February,1
A,AGG ASSAULT,2011,March,1
A,AGG ASSAULT,2011,May,2
A,AGG ASSAULT,2011,September,1
A,AGG ASSAULT,2012,August,1
A,AGG ASSAULT,2012,February,1
A,AGG ASSAULT,2012,March,1
A,AGG ASSAULT,2012,October,1
A,AGG ASSAULT,2012,September,1
A,AGG ASSAULT,2013,July,1
A,AGG ASSAULT,2013,March,1
A,AGG ASSAULT,2013,May,2
A,AGG ASSAULT,2013,October,1
A,AGG ASSAULT,2013,September,1
A,AGG ASSAULT,2014,August,1
A,AGG ASSAULT,2014,March,1
A,AGG ASSAULT,2014,May,1
A,AGG ASSAULT,2015,February,2
A,AGG ASSAULT,2015,July,1
A,AGG ASSAULT,2015,June,1
A,AGG ASSAULT,2015,May,2
A,AGG ASSAULT,2017,April,1
A,AGG ASSAULT,2017,August,1
A,AGG ASSAULT,2017,December,1
A,AGG ASSAULT,2017,September,1
A,AGG ASSAULT,2018,January,1
A,AGG ASSAULT,2018,November,2
A,AGG ASSAULT,2019,April,1
A,AGG ASSAULT,2019,July,1
A,AGG ASSAULT,2019,October,2
A,AGG ASSAULT,2019,September,1
A,AGG ASSAULT,2020,August,2
A,AGG ASSAULT,2020,November,1
A,AGG ASSAULT,2020,October,1
A,AGG ASSAULT,2021,August,1
A,AGG ASSAULT,2021,July,1
A,AGG ASSAULT,2021,June,1
A,AGG ASSAULT,2021,March,1
A,AGG ASSAULT,2021,May,1
A,AGG ASSAULT,2021,October,1
A,AGG ASSAULT,2022,March,1
A,AUTO THEFT,2009,April,3
A,AUTO THEFT,2009,August,2
A,AUTO THEFT,2009,June,3
A,AUTO THEFT,2009,March,1
A,AUTO THEFT,2009,May,2
A,AUTO THEFT,2009,November,3
A,AUTO THEFT,2009,October,1
A,AUTO THEFT,2010,April,1
A,AUTO THEFT,2010,August,2
A,AUTO THEFT,2010,December,2
A,AUTO THEFT,2010,February,1
A,AUTO THEFT,2010,January,2
A,AUTO THEFT,2010,July,4
A,AUTO THEFT,2010,June,1
A,AUTO THEFT,2010,March,2
A,AUTO THEFT,2010,May,3
A,AUTO THEFT,2010,November,3
A,AUTO THEFT,2010,October,1
A,AUTO THEFT,2010,September,2
A,AUTO THEFT,2011,August,2
A,AUTO THEFT,2011,January,1
A,AUTO THEFT,2011,July,2
A,AUTO THEFT,2011,June,1
A,AUTO THEFT,2011,March,1
A,AUTO THEFT,2011,October,2
A,AUTO THEFT,2011,September,2
A,AUTO THEFT,2012,April,1
A,AUTO THEFT,2012,August,1
A,AUTO THEFT,2012,December,5
A,AUTO THEFT,2012,February,1
A,AUTO THEFT,2012,January,1
A,AUTO THEFT,2012,March,1
A,AUTO THEFT,2012,November,1
A,AUTO THEFT,2012,October,1
A,AUTO THEFT,2012,September,1
A,AUTO THEFT,2013,April,2
A,AUTO THEFT,2013,August,1
A,AUTO THEFT,2013,February,3
A,AUTO THEFT,2013,January,1
A,AUTO THEFT,2013,July,1
A,AUTO THEFT,2013,June,5
A,AUTO THEFT,2013,March,2
A,AUTO THEFT,2013,May,1
A,AUTO THEFT,2013,November,1
A,AUTO THEFT,2013,October,2
A,AUTO THEFT,2014,August,2
A,AUTO THEFT,2014,December,2
A,AUTO THEFT,2014,July,1
A,AUTO THEFT,2014,June,2
A,AUTO THEFT,2014,March,1
A,AUTO THEFT,2014,May,1
A,AUTO THEFT,2014,November,3
A,AUTO THEFT,2014,October,4
A,AUTO THEFT,2014,September,2
A,AUTO THEFT,2015,April,1
A,AUTO THEFT,2015,August,1
A,AUTO THEFT,2015,February,2
A,AUTO THEFT,2015,January,2
A,AUTO THEFT,2015,July,1
A,AUTO THEFT,2015,June,1
A,AUTO THEFT,2015,March,3
A,AUTO THEFT,2015,May,5
A,AUTO THEFT,2015,November,1
A,AUTO THEFT,2015,October,5
A,AUTO THEFT,2015,September,3
A,AUTO THEFT,2016,April,2
A,AUTO THEFT,2016,December,3
A,AUTO THEFT,2016,February,3
A,AUTO THEFT,2016,June,2
A,AUTO THEFT,2016,March,1
A,AUTO THEFT,2016,May,2
A,AUTO THEFT,2016,November,4
A,AUTO THEFT,2016,October,4
A,AUTO THEFT,2016,September,3
A,AUTO THEFT,2017,April,1
A,AUTO THEFT,2017,August,2
A,AUTO THEFT,2017,December,4
A,AUTO THEFT,2017,January,2
A,AUTO THEFT,2017,July,2
A,AUTO THEFT,2017,June,3
A,AUTO THEFT,2017,March,1
A,AUTO THEFT,2017,May,1
A,AUTO THEFT,2017,October,3
A,AUTO THEFT,2017,September,1
A,AUTO THEFT,2018,April,2
A,AUTO THEFT,2018,August,1
A,AUTO THEFT,2018,December,1
A,AUTO THEFT,2018,February,3
A,AUTO THEFT,2018,January,3
A,AUTO THEFT,2018,June,1
A,AUTO THEFT,2018,March,4
A,AUTO THEFT,2018,May,1
A,AUTO THEFT,2018,November,2
A,AUTO THEFT,2018,October,2
A,AUTO THEFT,2018,September,1
A,AUTO THEFT,2019,April,2
A,AUTO THEFT,2019,August,2
A,AUTO THEFT,2019,December,4
A,AUTO THEFT,2019,February,1
A,AUTO THEFT,2019,January,1
A,AUTO THEFT,2019,July,3
A,AUTO THEFT,2019,March,1
A,AUTO THEFT,2019,May,2
A,AUTO THEFT,2019,November,2
A,AUTO THEFT,2020,April,4
A,AUTO THEFT,2020,August,9
A,AUTO THEFT,2020,December,7
A,AUTO THEFT,2020,February,4
A,AUTO THEFT,2020,January,3
A,AUTO THEFT,2020,July,4
A,AUTO THEFT,2020,June,3
A,AUTO THEFT,2020,March,1
A,AUTO THEFT,2020,May,1
A,AUTO THEFT,2020,November,9
A,AUTO THEFT,2020,October,7
A,AUTO THEFT,2020,September,2
A,AUTO THEFT,2021,April,3
A,AUTO THEFT,2021,December,1
A,AUTO THEFT,2021,February,4
A,AUTO THEFT,2021,January,5
A,AUTO THEFT,2021,March,4
A,AUTO THEFT,2021,May,1
A,AUTO THEFT,2021,November,1
A,AUTO THEFT,2021,October,1
A,AUTO THEFT,2021,September,1
A,AUTO THEFT,2022,February,1
A,AUTO THEFT,2022,January,2
A,BURGLARY,2019,December,2
A,BURGLARY,2019,October,1
A,BURGLARY,2020,April,3
A,BURGLARY,2020,December,1
A,BURGLARY,2020,February,1
A,BURGLARY,2020,January,2
A,BURGLARY,2020,July,2
A,BURGLARY,2020,May,2
A,BURGLARY,2020,October,3
A,BURGLARY,2020,September,1
A,BURGLARY,2021,August,1
A,BURGLARY,2021,July,3
A,BURGLARY,2021,June,2
A,BURGLARY,2021,May,1
A,BURGLARY,2021,October,1
A,BURGLARY,2022,February,1
A,BURGLARY,2022,January,1
A,BURGLARY,2022,March,1
A,BURGLARY-NONRES,2009,April,2
A,BURGLARY-NONRES,2009,February,2
A,BURGLARY-NONRES,2009,June,2
A,BURGLARY-NONRES,2009,March,1
A,BURGLARY-NONRES,2009,May,2
A,BURGLARY-NONRES,2009,November,1
A,BURGLARY-NONRES,2009,October,1
A,BURGLARY-NONRES,2009,September,1
A,BURGLARY-NONRES,2010,April,2
A,BURGLARY-NONRES,2010,August,1
A,BURGLARY-NONRES,2010,December,1
A,BURGLARY-NONRES,2010,February,1
A,BURGLARY-NONRES,2010,January,1
A,BURGLARY-NONRES,2010,July,3
A,BURGLARY-NONRES,2010,June,1
A,BURGLARY-NONRES,2010,May,2
A,BURGLARY-NONRES,2010,November,1
A,BURGLARY-NONRES,2010,October,1
A,BURGLARY-NONRES,2011,August,2
A,BURGLARY-NONRES,2011,December,1
A,BURGLARY-NONRES,2011,February,1
A,BURGLARY-NONRES,2011,June,1
A,BURGLARY-NONRES,2011,May,2
A,BURGLARY-NONRES,2011,September,4
A,BURGLARY-NONRES,2012,June,1
A,BURGLARY-NONRES,2012,May,2
A,BURGLARY-NONRES,2012,November,1
A,BURGLARY-NONRES,2012,October,1
A,BURGLARY-NONRES,2013,December,1
A,BURGLARY-NONRES,2013,January,1
A,BURGLARY-NONRES,2013,July,1
A,BURGLARY-NONRES,2013,May,1
A,BURGLARY-NONRES,2013,October,2
A,BURGLARY-NONRES,2014,April,1
A,BURGLARY-NONRES,2014,December,1
A,BURGLARY-NONRES,2014,February,1
A,BURGLARY-NONRES,2014,July,2
A,BURGLARY-NONRES,2014,June,2
A,BURGLARY-NONRES,2014,May,1
A,BURGLARY-NONRES,2014,November,1
A,BURGLARY-NONRES,2014,October,1
A,BURGLARY-NONRES,2014,September,1
A,BURGLARY-NONRES,2015,August,1
A,BURGLARY-NONRES,2015,July,1
A,BURGLARY-NONRES,2015,June,1
A,BURGLARY-NONRES,2015,May,1
A,BURGLARY-NONRES,2015,October,1
A,BURGLARY-NONRES,2015,September,2
A,BURGLARY-NONRES,2016,April,1
A,BURGLARY-NONRES,2016,August,1
A,BURGLARY-NONRES,2016,January,4
A,BURGLARY-NONRES,2016,March,1
A,BURGLARY-NONRES,2016,May,1
A,BURGLARY-NONRES,2017,August,1
A,BURGLARY-NONRES,2017,December,1
A,BURGLARY-NONRES,2017,July,2
A,BURGLARY-NONRES,2017,November,2
A,BURGLARY-NONRES,2018,January,3
A,BURGLARY-NONRES,2018,July,2
A,BURGLARY-NONRES,2019,December,1
A,BURGLARY-NONRES,2019,February,1
A,BURGLARY-NONRES,2019,January,1
A,BURGLARY-NONRES,2019,November,1
A,BURGLARY-RESIDENCE,2009,April,4
A,BURGLARY-RESIDENCE,2009,August,4
A,BURGLARY-RESIDENCE,2009,December,6
A,BURGLARY-RESIDENCE,2009,January,1
A,BURGLARY-RESIDENCE,2009,July,6
A,BURGLARY-RESIDENCE,2009,June,6
A,BURGLARY-RESIDENCE,2009,March,2
A,BURGLARY-RESIDENCE,2009,May,9
A,BURGLARY-RESIDENCE,2009,November,5
A,BURGLARY-RESIDENCE,2009,October,4
A,BURGLARY-RESIDENCE,2009,September,2
A,BURGLARY-RESIDENCE,2010,April,7
A,BURGLARY-RESIDENCE,2010,August,10
A,BURGLARY-RESIDENCE,2010,December,4
A,BURGLARY-RESIDENCE,2010,February,2
A,BURGLARY-RESIDENCE,2010,January,5
A,BURGLARY-RESIDENCE,2010,July,7
A,BURGLARY-RESIDENCE,2010,June,5
A,BURGLARY-RESIDENCE,2010,March,2
A,BURGLARY-RESIDENCE,2010,May,9
A,BURGLARY-RESIDENCE,2010,November,6
A,BURGLARY-RESIDENCE,2010,October,2
A,BURGLARY-RESIDENCE,2010,September,6
A,BURGLARY-RESIDENCE,2011,April,10
A,BURGLARY-RESIDENCE,2011,August,7
A,BURGLARY-RESIDENCE,2011,December,6
A,BURGLARY-RESIDENCE,2011,January,2
A,BURGLARY-RESIDENCE,2011,July,5
A,BURGLARY-RESIDENCE,2011,June,7
A,BURGLARY-RESIDENCE,2011,March,4
A,BURGLARY-RESIDENCE,2011,May,6
A,BURGLARY-RESIDENCE,2011,November,6
A,BURGLARY-RESIDENCE,2011,October,6
A,BURGLARY-RESIDENCE,2011,September,5
A,BURGLARY-RESIDENCE,2012,April,2
A,BURGLARY-RESIDENCE,2012,August,4
A,BURGLARY-RESIDENCE,2012,December,3
A,BURGLARY-RESIDENCE,2012,February,2
A,BURGLARY-RESIDENCE,2012,January,1
A,BURGLARY-RESIDENCE,2012,July,3
A,BURGLARY-RESIDENCE,2012,March,5
A,BURGLARY-RESIDENCE,2012,May,5
A,BURGLARY-RESIDENCE,2012,November,6
A,BURGLARY-RESIDENCE,2012,October,8
A,BURGLARY-RESIDENCE,2012,September,9
A,BURGLARY-RESIDENCE,2013,April,3
A,BURGLARY-RESIDENCE,2013,August,7
A,BURGLARY-RESIDENCE,2013,December,8
A,BURGLARY-RESIDENCE,2013,February,1
A,BURGLARY-RESIDENCE,2013,January,8
A,BURGLARY-RESIDENCE,2013,July,6
A,BURGLARY-RESIDENCE,2013,June,4
A,BURGLARY-RESIDENCE,2013,March,5
A,BURGLARY-RESIDENCE,2013,May,4
A,BURGLARY-RESIDENCE,2013,November,5
A,BURGLARY-RESIDENCE,2013,October,4
A,BURGLARY-RESIDENCE,2013,September,9
A,BURGLARY-RESIDENCE,2014,April,3
A,BURGLARY-RESIDENCE,2014,August,1
A,BURGLARY-RESIDENCE,2014,February,2
A,BURGLARY-RESIDENCE,2014,January,5
A,BURGLARY-RESIDENCE,2014,July,4
A,BURGLARY-RESIDENCE,2014,March,5
A,BURGLARY-RESIDENCE,2014,May,3
A,BURGLARY-RESIDENCE,2014,November,3
A,BURGLARY-RESIDENCE,2014,October,4
A,BURGLARY-RESIDENCE,2014,September,7
A,BURGLARY-RESIDENCE,2015,April,4
