offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,location,shift,UC2_Literal,neighborhood,lat,long
203140048,2/21/2022,11/9/2020,12:32:00 AM,11/9/2020,1:49:00 AM,"2111 CAMPBELLTON RD SW
ATLANTA, GA 30311
UNITED STATES",NULL,AGG ASSAULT,Adams Park,33.706526,-84.458
203421469,2/27/2022,12/7/2020,7:43:00 PM,12/7/2020,8:26:00 PM,"150 PEYTON PL SW
ATLANTA, GA 30311
UNITED STATES",NULL,LARCENY-NON VEHICLE,Harland Terrace,33.750613,-84.473202
203530136,2/21/2022,12/18/2020,1:28:00 AM,12/18/2020,1:48:00 AM,"2460 MARTIN LUTHER KING JR DR SW
ATLANTA, GA 30311
UNITED STATES",NULL,LARCENY-NON VEHICLE,Harland Terrace,33.752019,-84.468223
210121730,1/12/2022,1/12/2021,7:33:00 PM,1/12/2021,7:38:00 PM,"396 PIEDMONT AVE NE
ATLANTA, GA 30308
UNITED STATES",NULL,AGG ASSAULT,Downtown,33.764937,-84.38261
210638051,2/2/2022,3/4/2021,7:50:00 PM,3/4/2021,7:50:00 PM,"4300 GLOBAL GATEWAY CONN
COLLEGE PARK, GA 30337
UNITED STATES",NULL,AUTO THEFT,NA,33.637951,-84.468052
210671200,1/28/2022,3/8/2021,4:59:00 PM,3/8/2021,6:17:00 PM,"1398 ELAINE AVE NW
ATLANTA, GA 30318
UNITED STATES",NULL,AUTO THEFT,Blandtown,33.793324,-84.427005
210671405,1/30/2022,3/8/2021,6:41:00 PM,3/8/2021,7:36:00 PM,"4163 CORNELL BLVD SW
ATLANTA, GA 30331
UNITED STATES",NULL,AGG ASSAULT,Baker Hills,33.761643,-84.522832
210770926,1/13/2022,1/15/2022,12:00:00 AM,NA,NA,"2438 OZARK TRAIL SW
ATLANTA, GA 30331
UNITED STATES",NULL,LARCENY-NON VEHICLE,Arlington Estates,33.688746,-84.54419
211081989,1/28/2022,4/18/2021,11:59:00 PM,4/18/2021,11:59:00 PM,"180 RALPH DAVID ABERNATHY BLVD SW
ATLANTA, GA 30312
UNITED STATES",NULL,AUTO THEFT,Mechanicsville,33.736565,-84.393792
211140913,1/12/2022,4/24/2021,10:00:00 AM,4/24/2021,11:00:00 AM,"1940 FISHER RD SE
ATLANTA, GA 30315
UNITED STATES",NULL,ROBBERY,Custer/McDonough/Guice,33.71124,-84.358522
211670825,2/11/2022,6/16/2021,12:09:00 PM,6/16/2021,12:13:00 PM,"320 FAIRBURN RD SW
ATLANTA, GA 30331
UNITED STATES",NULL,AGG ASSAULT,Fairburn Mays,33.744387,-84.507113
212110623,1/28/2022,7/29/2021,8:00:00 PM,7/30/2021,10:00:00 AM,"150 10TH ST NE
ATLANTA, GA 30309
UNITED STATES",NULL,ROBBERY,Midtown,33.782103,-84.382211
212560898,1/13/2022,9/13/2021,1:18:00 PM,9/13/2021,2:30:00 PM,"835 MARTIN L KING JR DR NW
ATL, GA 30314
UNITED STATES",NULL,LARCENY-NON VEHICLE,Vine City,33.755037,-84.414571
213303546,3/8/2022,11/25/2021,4:00:00 PM,11/26/2021,11:30:00 PM,"2335 HIGHVIEW RD SW
ATLANTA, GA 30311
UNITED STATES",NULL,BURGLARY,Beecher Hills,33.73003,-84.463727
213400794,1/11/2022,12/6/2021,1:02:00 PM,12/6/2021,2:30:00 PM,"218 PEACHTREE ST
ATL, GA 30303
UNITED STATES",NULL,LARCENY-NON VEHICLE,Downtown,33.757147,-84.387601
