offense_id,rpt_date,occur_date,occur_day,occur_day_num,occur_time,poss_date,poss_time,beat,zone,location,ibr_code,UC2_Literal,neighborhood,npu,lat,long
203140048,2/21/2022,11/9/2020,Monday,2,00:32,11/9/2020,01:49,409,4,"2111 CAMPBELLTON RD SW
ATLANTA, GA 30311
UNITED STATES",13A,AGG ASSAULT,Adams Park,R,33.706526,-84.458
203421469,2/27/2022,12/7/2020,Monday,2,19:43,12/7/2020,20:26,405,4,"150 PEYTON PL SW
ATLANTA, GA 30311
UNITED STATES",23B,LARCENY-NON VEHICLE,Harland Terrace,I,33.750613,-84.473202
203530136,2/21/2022,12/18/2020,Friday,6,01:28,12/18/2020,01:48,405,4,"2460 MARTIN LUTHER KING JR DR SW
ATLANTA, GA 30311
UNITED STATES",23H,LARCENY-NON VEHICLE,Harland Terrace,I,33.752019,-84.468223
210121730,1/12/2022,1/12/2021,Tuesday,3,19:33,1/12/2021,19:38,509,5,"396 PIEDMONT AVE NE
ATLANTA, GA 30308
UNITED STATES",13A,AGG ASSAULT,Downtown,M,33.764937,-84.38261
210638051,2/2/2022,3/4/2021,Thursday,5,19:50,3/4/2021,19:50,707,7,"4300 GLOBAL GATEWAY CONN
COLLEGE PARK, GA 30337
UNITED STATES",240,AUTO THEFT,NA,NA,33.637951,-84.468052
210671200,1/28/2022,3/8/2021,Monday,2,16:59,3/8/2021,18:17,103,1,"1398 ELAINE AVE NW
ATLANTA, GA 30318
UNITED STATES",240,AUTO THEFT,Blandtown,D,33.793324,-84.427005
210671405,1/30/2022,3/8/2021,Monday,2,18:41,3/8/2021,19:36,407,4,"4163 CORNELL BLVD SW
ATLANTA, GA 30331
UNITED STATES",13A,AGG ASSAULT,Baker Hills,H,33.761643,-84.522832
210770926,1/13/2022,1/15/2022,Saturday,7,00:00,NA,NA,413,4,"2438 OZARK TRAIL SW
ATLANTA, GA 30331
UNITED STATES",23H,LARCENY-NON VEHICLE,Arlington Estates,P,33.688746,-84.54419
211081989,1/28/2022,4/18/2021,Sunday,1,23:59,4/18/2021,23:59,303,3,"180 RALPH DAVID ABERNATHY BLVD SW
ATLANTA, GA 30312
UNITED STATES",240,AUTO THEFT,Mechanicsville,V,33.736565,-84.393792
211140913,1/12/2022,4/24/2021,Saturday,7,10:00,4/24/2021,11:00,607,6,"1940 FISHER RD SE
ATLANTA, GA 30315
UNITED STATES",120,ROBBERY,Custer/McDonough/Guice,W,33.71124,-84.358522
211670825,2/11/2022,6/16/2021,Wednesday,4,12:09,6/16/2021,12:13,407,4,"320 FAIRBURN RD SW
ATLANTA, GA 30331
UNITED STATES",13A,AGG ASSAULT,Fairburn Mays,H,33.744387,-84.507113
212110623,1/28/2022,7/29/2021,Thursday,5,20:00,7/30/2021,10:00,503,5,"150 10TH ST NE
ATLANTA, GA 30309
UNITED STATES",120,ROBBERY,Midtown,E,33.782103,-84.382211
212560898,1/13/2022,9/13/2021,Monday,2,13:18,9/13/2021,14:30,102,1,"835 MARTIN L KING JR DR NW
ATL, GA 30314
UNITED STATES",23C,LARCENY-NON VEHICLE,Vine City,L,33.755037,-84.414571
213303546,3/8/2022,11/25/2021,Thursday,5,16:00,11/26/2021,23:30,406,4,"2335 HIGHVIEW RD SW
ATLANTA, GA 30311
UNITED STATES",220,BURGLARY,Beecher Hills,I,33.73003,-84.463727
213400794,1/11/2022,12/6/2021,Monday,2,13:02,12/6/2021,14:30,510,5,"218 PEACHTREE ST
ATL, GA 30303
UNITED STATES",23C,LARCENY-NON VEHICLE,Downtown,M,33.757147,-84.387601
213451230,1/9/2022,12/11/2021,Saturday,7,16:53,12/11/2021,18:00,210,2,"3393 PEACHTREE RD NE
ATL, GA 30326
UNITED STATES",23C,LARCENY-NON VEHICLE,Lenox,B,33.84676,-84.362119
213480110,1/5/2022,12/14/2021,Tuesday,3,01:47,12/14/2021,02:00,210,2,"3405 LENOX RD NE
ATL, GA 30326
UNITED STATES",23D,LARCENY-NON VEHICLE,Lenox,B,33.847997,-84.359474
213521283,2/6/2022,12/18/2021,Saturday,7,17:00,12/18/2021,18:26,204,2,"1735 DEFOOR PL NW
ATL, GA 30318
UNITED STATES",23F,LARCENY-FROM VEHICLE,Underwood Hills,D,33.802245,-84.421554
213540709,1/4/2022,12/19/2021,Sunday,1,11:58,12/20/2021,11:58,104,1,"1108 FOUNTAIN DR SW
ATL, GA 30314
UNITED STATES",23H,LARCENY-NON VEHICLE,Ashview Heights,T,33.751302,-84.423927
213580731,1/14/2022,12/23/2021,Thursday,5,03:00,12/24/2021,07:30,305,3,"174 MOURY AVE SW
ATL, GA 30315
UNITED STATES",240,AUTO THEFT,The Villages at Carver,Y,33.712761,-84.390559
213600004,1/2/2022,12/26/2021,Sunday,1,00:30,12/26/2021,01:00,211,2,"MOROSGO DR NE / ADINA DR NE
ATL, GA 30324
UNITED STATES",23F,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,33.82289,-84.362936
213611231,2/5/2022,12/22/2021,Wednesday,4,19:16,2/27/2022,00:00,207,2,"2144 PEACHTREE RD NW
ATL, GA 30309
UNITED STATES",23D,LARCENY-NON VEHICLE,NA,C,33.81306,-84.39262
213621507,1/2/2022,12/28/2021,Tuesday,3,14:30,12/28/2021,17:30,503,5,"60 11TH ST NE
ATL, GA 30309
UNITED STATES",23H,LARCENY-NON VEHICLE,Midtown,E,33.783371,-84.385606
213631672,1/1/2022,12/29/2021,Wednesday,4,17:00,12/29/2021,22:30,505,5,"905 JUNIPER ST NE
ATLANTA, GA 30309
UNITED STATES",23F,LARCENY-FROM VEHICLE,Midtown,E,33.779208,-84.382299
213638034,1/3/2022,12/25/2021,Saturday,7,21:00,12/26/2021,20:00,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213638035,1/3/2022,12/28/2021,Tuesday,3,19:00,12/29/2021,23:00,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213638036,1/3/2022,12/20/2021,Monday,2,18:00,12/20/2021,19:00,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213638037,1/5/2022,12/15/2021,Wednesday,4,05:30,12/15/2021,06:00,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213638039,1/12/2022,11/30/2021,Tuesday,3,19:30,11/30/2021,19:45,706,7,"6000 N TERMINAL PKWY
ATL, GA 30320
UNITED STATES",23H,LARCENY-NON VEHICLE,NA,NA,33.640861,-84.444732
213640396,1/3/2022,12/30/2021,Thursday,5,08:00,12/30/2021,08:25,211,2,"2399 PARKLAND DR NE
ATL, GA 30324
UNITED STATES",23F,LARCENY-FROM VEHICLE,Lindbergh/Morosgo,B,33.819481,-84.364254
213641076,1/1/2022,12/30/2021,Thursday,5,16:30,12/30/2021,17:07,413,4,"2647 BUTNER RD SW
ATLANTA, GA 30331
UNITED STATES",120,ROBBERY,Butner/Tell,P,33.68234,-84.535873
213641089,1/3/2022,12/30/2021,Thursday,5,16:00,12/30/2021,16:00,210,2,"3393 PEACHTREE RD NE
ATLANTA, GA 30326
UNITED STATES",23C,LARCENY-NON VEHICLE,Lenox,B,33.846108,-84.362279
213650025,1/2/2022,12/30/2021,Thursday,5,12:00,12/31/2021,00:00,508,5,"160 TED TURNER DR NW
ATLANTA, GA 30303
UNITED STATES",23H,LARCENY-NON VEHICLE,Downtown,M,33.759364,-84.390123
213650207,1/2/2022,12/31/2021,Friday,6,03:00,12/31/2021,04:00,108,1,"2054 BETHEL DR NW
ATLANTA, GA 30314
UNITED STATES",09A,HOMICIDE,Dixie Hills,J,33.76206,-84.455223
213650289,1/1/2022,12/31/2021,Friday,6,05:00,12/31/2021,05:04,211,2,"761 SIDNEY MARCUS BLVD NE
ATLANTA, GA 30324
UNITED STATES",13A,AGG ASSAULT,Lindbergh/Morosgo,B,33.825441,-84.362192
213650370,1/1/2022,12/31/2021,Friday,6,02:00,12/31/2021,02:30,510,5,"181 PEACHTREE ST NE
ATLANTA, GA 30303
UNITED STATES",120,ROBBERY,Downtown,M,33.758656,-84.38717
213650409,1/1/2022,12/31/2021,Friday,6,09:00,12/31/2021,09:10,508,5,"33 MARIETTA ST NW
ATLANTA, GA 30303
UNITED STATES",23H,LARCENY-NON VEHICLE,Downtown,M,33.755172,-84.390436
213650529,1/1/2022,12/31/2021,Friday,6,00:00,NA,NA,401,4,"496 HOLDERNESS ST SW
ATLANTA, GA 30310
UNITED STATES",23F,LARCENY-FROM VEHICLE,West End,T,33.741488,-84.426552
213650533,1/3/2022,12/31/2021,Friday,6,00:00,12/31/2021,11:40,113,1,"1770 BOLTON RD NW
ATLANTA, GA 30318
UNITED STATES",09A,HOMICIDE,Chattahoochee,G,33.803703,-84.484109
213650683,1/1/2022,12/31/2021,Friday,6,12:50,12/31/2021,13:00,205,2,"379 COLLIER RD NW
ATLANTA, GA 30309
UNITED STATES",23F,LARCENY-FROM VEHICLE,Collier Hills North,C,33.809018,-84.398942
213650711,1/1/2022,12/30/2021,Thursday,5,14:00,12/31/2021,14:05,612,6,"1127 HILBURN DR SE
ATLANTA, GA 30316
UNITED STATES",240,AUTO THEFT,East Atlanta,W,33.725087,-84.327352
213650842,1/1/2022,12/31/2021,Friday,6,15:30,1/1/2022,15:45,306,3,"895 BRIDGEWATER ST SW
ATLANTA, GA 30310
UNITED STATES",23F,LARCENY-FROM VEHICLE,Sylvan Hills,X,33.703047,-84.417905
213651474,1/1/2022,12/31/2021,Friday,6,21:20,1/1/2022,21:35,210,2,"3391 PEACHTREE RD NE
ATL, GA 30326
UNITED STATES",23H,LARCENY-NON VEHICLE,Lenox,B,33.848628,-84.365227
213651566,1/1/2022,12/31/2021,Friday,6,22:27,1/1/2022,01:30,211,2,"2799 PIEDMONT RD NE
ATLANTA, GA 30305
UNITED STATES",23F,LARCENY-FROM VEHICLE,Peachtree Park,B,33.83052,-84.366574
213651566,1/1/2022,12/31/2021,Friday,6,22:27,1/1/2022,01:30,211,2,"2799 PIEDMONT RD NE
ATLANTA, GA 30305
UNITED STATES",23H,LARCENY-NON VEHICLE,Peachtree Park,B,33.83052,-84.366574
213651609,1/1/2022,12/31/2021,Friday,6,20:45,12/31/2021,22:45,602,6,"44 KROG ST NE
ATLANTA, GA 30307
UNITED STATES",23F,LARCENY-FROM VEHICLE,Inman Park,N,33.755252,-84.364839
213651609,1/1/2022,12/31/2021,Friday,6,20:45,12/31/2021,22:45,602,6,"44 KROG ST NE
ATLANTA, GA 30307
UNITED STATES",23G,LARCENY-FROM VEHICLE,Inman Park,N,33.755252,-84.364839
213651706,1/1/2022,12/31/2021,Friday,6,23:17,1/1/2022,00:54,508,5,"FAIRLIE ST NW / POPLAR ST NW
ATL, GA 30303
UNITED STATES",240,AUTO THEFT,Downtown,M,33.756898,-84.390207
213651744,1/1/2022,12/31/2021,Friday,6,23:20,12/31/2021,23:33,102,1,"111 GRIFFIN ST NW
ATL, GA 30314
UNITED STATES",13A,AGG ASSAULT,Vine City,L,33.757734,-84.411196
