offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,location,shift,UC2_Literal,neighborhood,lat,long
203341346,12/31/2020,11/29/2020,7:21:00 PM,11/29/2020,11:50:00 PM,3050 M.L.K. JR DR SW,NULL,AGG ASSAULT,Harland Terrace,-84.486163,33.75106
203631200,12/31/2020,12/28/2020,5:21:00 PM,12/28/2020,5:45:00 PM,1186 IRA ST SW,NULL,LARCENY-NON VEHICLE,Pittsburgh,-84.399763,33.722696
203631285,12/31/2020,12/24/2020,2:00:00 PM,12/24/2020,6:26:00 PM,501 BOULEVARD PL NE,NULL,LARCENY-NON VEHICLE,Old Fourth Ward,-84.370736,33.76968
203651634,12/31/2020,12/30/2020,8:15:00 PM,12/30/2020,10:25:00 PM,3101 PIEDMONT RD NE,NULL,LARCENY-FROM VEHICLE,Peachtree Park,-84.369361,33.840653
203660108,12/31/2020,12/31/2020,1:15:00 AM,12/31/2020,1:15:00 AM,1974 SYLVAN RD SW,NULL,AGG ASSAULT,Sylvan Hills,-84.418128,33.700432
203660240,12/31/2020,12/31/2020,12:00:00 AM,12/31/2020,5:43:00 AM,361 OLIVER ST NW,NULL,AUTO THEFT,English Avenue,-84.415338,33.764633
203660279,12/31/2020,12/31/2020,3:50:00 AM,12/31/2020,4:09:00 AM,800 WEST MARIETTA ST NW,NULL,LARCENY-NON VEHICLE,English Avenue,-84.412613,33.778925
203660299,12/31/2020,12/31/2020,4:15:00 AM,12/31/2020,5:52:00 AM,1054 RIDGE AVE SW,NULL,ROBBERY,Peoplestown,-84.391717,33.726336
203660335,12/31/2020,12/31/2020,3:00:00 AM,12/31/2020,7:22:00 AM,2284 CHESHIRE BRIDGE RD NE,NULL,LARCENY-FROM VEHICLE,Lindridge/Martin Manor,-84.352555,33.817488
203660398,12/31/2020,12/31/2020,7:50:00 AM,12/31/2020,7:50:00 AM,1374 MURPHY AVE SW,NULL,AUTO THEFT,Capitol View,-84.423912,33.717598
203660430,12/31/2020,12/30/2020,10:08:00 PM,12/31/2020,8:00:00 AM,3340 PEACHTREE RD,NULL,LARCENY-FROM VEHICLE,North Buckhead,-84.370956,33.847445
203660454,12/31/2020,12/31/2020,6:20:00 AM,12/31/2020,8:06:00 AM,1990 DONALD LEE HOLLOWELL PKWY NW,NULL,LARCENY-NON VEHICLE,Grove Park,-84.449777,33.7763
203660455,12/31/2020,12/31/2020,8:10:00 AM,12/31/2020,9:00:00 AM,1001 PONCE DE LEON AVE NE,NULL,LARCENY-NON VEHICLE,Poncey-Highland,-84.354575,33.772962
